Date;Stocks;Return
1871.01;107.61;
1871.02;106.34;-0.011801877
1871.03;107.86;0.014293775
1871.04;115.63;0.072037827
1871.05;121.85;0.053792268
1871.06;123.3;0.011899877
1871.07;121.56;-0.014111922
1871.08;125.63;0.033481408
1871.09;124.52;-0.008835469
1871.1;116.82;-0.061837456
1871.11;118.65;0.015665126
1871.12;119.01;0.003034134
1872.01;122.58;0.029997479
1872.02;123.64;0.008647414
1872.03;126.37;0.022080233
1872.04;127.61;0.009812455
1872.05;128.18;0.004466735
1872.06;128.45;0.002106413
1872.07;130.19;0.013546127
1872.08;128.32;-0.014363622
1872.09;125.72;-0.020261845
1872.1;129.69;0.03157811
1872.11;126.05;-0.028066929
1872.12;131.65;0.044426815
1873.01;133.34;0.012837068
1873.02;132.13;-0.009074546
1873.03;131.76;-0.002800272
1873.04;130.63;-0.008576199
1873.05;134.46;0.029319452
1873.06;137.34;0.021419009
1873.07;137.79;0.00327654
1873.08;138.53;0.005370491
1873.09;128.69;-0.071031546
1873.1;120.98;-0.059911415
1873.11;121.2;0.001818482
1873.12;130.29;0.075
1874.01;136.05;0.044209072
1874.02;140.94;0.035942668
1874.03;139.7;-0.00879807
1874.04;138.8;-0.006442377
1874.05;137.08;-0.012391931
1874.06;140.63;0.025897286
1874.07;140.37;-0.001848823
1874.08;142.69;0.016527748
1874.09;145.8;0.021795501
1874.1;148.77;0.02037037
1874.11;152.23;0.023257377
1874.12;152.15;-0.000525521
1875.01;153.06;0.00598094
1875.02;153.64;0.003789364
1875.03;156.58;0.019135642
1875.04;158.23;0.010537744
1875.05;156.86;-0.008658282
1875.06;157.27;0.002613796
1875.07;158.56;0.008202454
1875.08;158.86;0.001892028
1875.09;159.7;0.005287675
1875.1;158.07;-0.010206637
1875.11;162.96;0.030935661
1875.12;165.32;0.014482081
1876.01;171.16;0.035325429
1876.02;174.42;0.019046506
1876.03;175;0.003325307
1876.04;170.87;-0.0236
1876.05;171.63;0.004447826
1876.06;176.28;0.027093166
1876.07;175.22;-0.006013161
1876.08;167.44;-0.044401324
1876.09;156.81;-0.063485428
1876.1;154.17;-0.016835661
1876.11;150.91;-0.021145489
1876.12;148.44;-0.016367371
1877.01;145.63;-0.018930207
1877.02;141.67;-0.027192199
1877.03;141.75;0.000564693
1877.04;128.84;-0.091075838
1877.05;127.45;-0.010788575
1877.06;125.98;-0.011533935
1877.07;131.18;0.041276393
1877.08;146.75;0.118691874
1877.09;158.3;0.078705281
1877.1;162.56;0.026910929
1877.11;164.14;0.009719488
1877.12;164.44;0.001827708
1878.01;170.34;0.035879348
1878.02;169.24;-0.006457673
1878.03;176.95;0.045556606
1878.04;184.68;0.043684657
1878.05;192.3;0.041260559
1878.06;201.7;0.048881955
1878.07;204.43;0.013534953
1878.08;201.3;-0.015310864
1878.09;206.27;0.024689518
1878.1;207.12;0.004120813
1878.11;209.77;0.012794515
1878.12;214.34;0.021785765
1879.01;220.79;0.030092377
1879.02;227.14;0.028760361
1879.03;226.99;-0.000660386
1879.04;238.16;0.049209216
1879.05;249.89;0.049252603
1879.06;255.13;0.020969226
1879.07;258.27;0.012307451
1879.08;261.22;0.011422155
1879.09;262.73;0.005780568
1879.1;276.83;0.053667263
1879.11;277.82;0.003576202
1879.12;270.02;-0.028075732
1880.01;273.34;0.012295386
1880.02;279.09;0.021036072
1880.03;282.73;0.013042388
1880.04;288.18;0.019276341
1880.05;274.49;-0.047505032
1880.06;282.45;0.028999235
1880.07;296.57;0.049991149
1880.08;308.41;0.039923121
1880.09;305.88;-0.008203366
1880.1;315.97;0.032986792
1880.11;330.45;0.045827135
1880.12;341.82;0.034407626
1881.01;367.27;0.074454391
1881.02;363.75;-0.00958423
1881.03;369.22;0.015037801
1881.04;365.77;-0.009344023
1881.05;387.46;0.05929956
1881.06;393.67;0.016027461
1881.07;377.61;-0.04079559
1881.08;362.99;-0.038717195
1881.09;353.67;-0.025675638
1881.1;346.23;-0.02103656
1881.11;353.23;0.020217774
1881.12;344.48;-0.024771395
1882.01;340.85;-0.010537622
1882.02;331.8;-0.026551269
1882.03;332.76;0.002893309
1882.04;331.23;-0.004597908
1882.05;325.76;-0.016514205
1882.06;322.63;-0.009608301
1882.07;345.44;0.070700183
1882.08;354.11;0.025098425
1882.09;369.05;0.04219028
1882.1;363.95;-0.013819266
1882.11;353.26;-0.029372167
1882.12;360.1;0.019362509
1883.01;359.9;-0.000555401
1883.02;350.17;-0.027035288
1883.03;359.54;0.026758432
1883.04;372.27;0.035406353
1883.05;371.21;-0.002847396
1883.06;387.45;0.043748821
1883.07;391.09;0.009394761
1883.08;375.21;-0.040604464
1883.09;385.12;0.026411876
1883.1;376.58;-0.022174907
1883.11;388.1;0.030591109
1883.12;377.6;-0.027054883
1884.01;368.22;-0.024841102
1884.02;380.1;0.032263321
1884.03;380.61;0.001341752
1884.04;373;-0.01999422
1884.05;352.17;-0.055844504
1884.06;339.8;-0.035125082
1884.07;345.53;0.016862861
1884.08;369.27;0.068706046
1884.09;363.58;-0.015408779
1884.1;357.7;-0.016172507
1884.11;360.55;0.007967571
1884.12;366.02;0.015171266
1885.01;359.73;-0.017184853
1885.02;368.63;0.024740778
1885.03;380.17;0.031305103
1885.04;376.99;-0.008364679
1885.05;383.51;0.017294888
1885.06;393.02;0.024797267
1885.07;404.82;0.030023917
1885.08;429.5;0.060965367
1885.09;431.12;0.003771828
1885.1;458.09;0.062557988
1885.11;483.97;0.056495448
1885.12;470.91;-0.026985144
1886.01;483.96;0.027712302
1886.02;495.1;0.023018431
1886.03;492.52;-0.005211068
1886.04;493.67;0.002334931
1886.05;498.04;0.008852067
1886.06;529.37;0.062906594
1886.07;532.62;0.006139373
1886.08;531.85;-0.001445684
1886.09;547.58;0.029576008
1886.1;563.34;0.028781183
1886.11;579.14;0.028047005
1886.12;559.07;-0.034654833
1887.01;541.74;-0.030997907
1887.02;533.33;-0.015524052
1887.03;547.67;0.026887668
1887.04;562.08;0.026311465
1887.05;573.65;0.020584258
1887.06;565.68;-0.013893489
1887.07;560.48;-0.009192476
1887.08;541.92;-0.033114473
1887.09;543.44;0.002804842
1887.1;521.04;-0.041218902
1887.11;526.86;0.011169968
1887.12;513.86;-0.024674487
1888.01;513.87;1.94606E-05
1888.02;518.85;0.009691167
1888.03;501.2;-0.034017539
1888.04;511.05;0.019652833
1888.05;526.2;0.029644849
1888.06;518.05;-0.015488407
1888.07;527.27;0.01779751
1888.08;540.57;0.025224268
1888.09;555.98;0.028506946
1888.1;548.43;-0.013579625
1888.11;532.94;-0.028244261
1888.12;524.72;-0.015423875
1889.01;556.05;0.059708035
1889.02;571.24;0.027317687
1889.03;568.27;-0.005199216
1889.04;569.24;0.001706935
1889.05;601.36;0.056426112
1889.06;613.66;0.020453638
1889.07;603.3;-0.016882313
1889.08;613.39;0.016724681
1889.09;622.57;0.014966009
1889.1;613.34;-0.014825642
1889.11;609.75;-0.005853197
1889.12;601;-0.014350144
1890.01;625.1;0.040099834
1890.02;620.26;-0.007742761
1890.03;617.73;-0.004078935
1890.04;632.75;0.02431483
1890.05;653.73;0.033156855
1890.06;651.21;-0.003854802
1890.07;648.68;-0.003885075
1890.08;612.9;-0.055158167
1890.09;597.67;-0.024849078
1890.1;572.77;-0.041661787
1890.11;545.96;-0.046807619
1890.12;535.34;-0.019451975
1891.01;572.3;0.069040236
1891.02;574.55;0.003931504
1891.03;559.41;-0.026351057
1891.04;573.32;0.024865483
1891.05;579.95;0.011564222
1891.06;584.3;0.007500647
1891.07;583.99;-0.000530549
1891.08;605.82;0.037380777
1891.09;665.45;0.098428576
1891.1;667.73;0.003426253
1891.11;668.36;0.000943495
1891.12;691.07;0.033978694
1892.01;724.54;0.048432141
1892.02;728.31;0.005203301
1892.03;758.39;0.041301094
1892.04;769.87;0.01513733
1892.05;772.5;0.003416161
1892.06;770.99;-0.001954693
1892.07;753.32;-0.022918585
1892.08;756.88;0.004725747
1892.09;740.67;-0.021416869
1892.1;758.2;0.02366776
1892.11;738.99;-0.025336323
1892.12;724.51;-0.019594311
1893.01;713.54;-0.015141268
1893.02;695.01;-0.025969112
1893.03;688.73;-0.009035841
1893.04;699.89;0.016203737
1893.05;648.63;-0.073240081
1893.06;636.46;-0.018762623
1893.07;595.18;-0.06485875
1893.08;607.86;0.021304479
1893.09;628.32;0.033659066
1893.1;641.55;0.02105615
1893.11;671.94;0.047369652
1893.12;660.28;-0.01735274
1894.01;667.94;0.011601139
1894.02;689.93;0.032922119
1894.03;734.24;0.064223907
1894.04;747.22;0.017678143
1894.05;722.6;-0.032948797
1894.06;715.9;-0.009272073
1894.07;704.17;-0.01638497
1894.08;713.09;0.012667396
1894.09;717.27;0.005861813
1894.1;717.69;0.000585554
1894.11;720.62;0.004082543
1894.12;727.28;0.009242042
1895.01;721.76;-0.007589924
1895.02;714.49;-0.0100726
1895.03;717.41;0.004086831
1895.04;719.83;0.003373245
1895.05;751.69;0.04426045
1895.06;758.69;0.00931235
1895.07;775.06;0.021576665
1895.08;800.21;0.032449101
1895.09;807.94;0.009659964
