Date;CAPE
1881.01;18.47
1881.02;18.15
1881.03;18.27
1881.04;17.95
1881.05;18.87
1881.06;19.03
1881.07;18.12
1881.08;17.29
1881.09;16.72
1881.1;16.26
1881.11;16.48
1881.12;15.96
1882.01;15.68
1882.02;15.15
1882.03;15.09
1882.04;14.92
1882.05;14.57
1882.06;14.33
1882.07;15.24
1882.08;15.53
1882.09;16.08
1882.1;15.76
1882.11;15.19
1882.12;15.38
1883.01;15.27
1883.02;14.76
1883.03;15.05
1883.04;15.48
1883.05;15.34
1883.06;15.9
1883.07;15.95
1883.08;15.2
1883.09;15.49
1883.1;15.05
1883.11;15.41
1883.12;14.9
1884.01;14.43
1884.02;14.81
1884.03;14.74
1884.04;14.35
1884.05;13.47
1884.06;12.91
1884.07;13.04
1884.08;13.86
1884.09;13.57
1884.1;13.27
1884.11;13.3
1884.12;13.43
1885.01;13.13
1885.02;13.38
1885.03;13.73
1885.04;13.55
1885.05;13.71
1885.06;13.98
1885.07;14.33
1885.08;15.13
1885.09;15.12
1885.1;15.99
1885.11;16.82
1885.12;16.3
1886.01;16.69
1886.02;17.01
1886.03;16.84
1886.04;16.8
1886.05;16.86
1886.06;17.83
1886.07;17.85
1886.08;17.72
1886.09;18.15
1886.1;18.56
1886.11;18.97
1886.12;18.19
1887.01;17.51
1887.02;17.13
1887.03;17.47
1887.04;17.82
1887.05;18.08
1887.06;17.71
1887.07;17.43
1887.08;16.74
1887.09;16.68
1887.1;15.88
1887.11;15.95
1887.12;15.46
1888.01;15.36
1888.02;15.42
1888.03;14.81
1888.04;15.02
1888.05;15.39
1888.06;15.08
1888.07;15.28
1888.08;15.6
1888.09;15.99
1888.1;15.72
1888.11;15.22
1888.12;14.95
1889.01;15.8
1889.02;16.19
1889.03;16.07
1889.04;16.05
1889.05;16.92
1889.06;17.22
1889.07;16.89
1889.08;17.13
1889.09;17.35
1889.1;17.05
1889.11;16.91
1889.12;16.61
1890.01;17.22
1890.02;17.03
1890.03;16.9
1890.04;17.26
1890.05;17.79
1890.06;17.68
1890.07;17.59
1890.08;16.6
1890.09;16.17
1890.1;15.48
1890.11;14.75
1890.12;14.44
1891.01;15.43
1891.02;15.48
1891.03;15.05
1891.04;15.41
1891.05;15.57
1891.06;15.66
1891.07;15.62
1891.08;16.16
1891.09;17.71
1891.1;17.72
1891.11;17.67
1891.12;18.21
1892.01;19.02
1892.02;19.04
1892.03;19.74
1892.04;19.94
1892.05;19.91
1892.06;19.77
1892.07;19.21
1892.08;19.2
1892.09;18.69
1892.1;19.04
1892.11;18.46
1892.12;18.01
1893.01;17.66
1893.02;17.13
1893.03;16.9
1893.04;17.1
1893.05;15.78
1893.06;15.42
1893.07;14.35
1893.08;14.59
1893.09;15.01
1893.1;15.27
1893.11;15.94
1893.12;15.61
1894.01;15.74
1894.02;16.2
1894.03;17.19
1894.04;17.43
1894.05;16.81
1894.06;16.61
1894.07;16.29
1894.08;16.46
1894.09;16.52
1894.1;16.5
1894.11;16.54
1894.12;16.67
1895.01;16.52
1895.02;16.33
1895.03;16.36
1895.04;16.39
1895.05;17.08
1895.06;17.21
1895.07;17.55
1895.08;18.07
1895.09;18.2
1895.1;17.94
1895.11;17.34
1895.12;16.55
1896.01;16.58
