DATE,WALCL
2002-12-18,719542
2002-12-25,732059
2003-01-01,730994
2003-01-08,723762
2003-01-15,720074
2003-01-22,735953
2003-01-29,712809
2003-02-05,719643
2003-02-12,713281
2003-02-19,730400
2003-02-26,721980
2003-03-05,722649
2003-03-12,717014
2003-03-19,729923
2003-03-26,725019
2003-04-02,732452
2003-04-09,727826
2003-04-16,745838
2003-04-23,732222
2003-04-30,746294
2003-05-07,733466
2003-05-14,740371
2003-05-21,734699
2003-05-28,744896
2003-06-04,731667
2003-06-11,743236
2003-06-18,735926
2003-06-25,744018
2003-07-02,740126
2003-07-09,744430
2003-07-16,737765
2003-07-23,745665
2003-07-30,740295
2003-08-06,734018
2003-08-13,735386
2003-08-20,750825
2003-08-27,740637
2003-09-03,750461
2003-09-10,737234
2003-09-17,743939
2003-09-24,741193
2003-10-01,753155
2003-10-08,737108
2003-10-15,754229
2003-10-22,743578
2003-10-29,747272
2003-11-05,744116
2003-11-12,745604
2003-11-19,744521
2003-11-26,756964
2003-12-03,749981
2003-12-10,756585
2003-12-17,753919
2003-12-24,767012
2003-12-31,771551
2004-01-07,755829
2004-01-14,752812
2004-01-21,775833
2004-01-28,755279
2004-02-04,754153
2004-02-11,750999
2004-02-18,758759
2004-02-25,750666
2004-03-03,754867
2004-03-10,749950
2004-03-17,760638
2004-03-24,751510
2004-03-31,760725
2004-04-07,754083
2004-04-14,763734
2004-04-21,757984
2004-04-28,772927
2004-05-05,758838
2004-05-12,764835
2004-05-19,756874
2004-05-26,771108
2004-06-02,764090
2004-06-09,772187
2004-06-16,761834
2004-06-23,775261
2004-06-30,779578
2004-07-07,778163
2004-07-14,775536
2004-07-21,776764
2004-07-28,773916
2004-08-04,772085
2004-08-11,769265
2004-08-18,767595
2004-08-25,775437
2004-09-01,785273
2004-09-08,788602
2004-09-15,789128
2004-09-22,782124
2004-09-29,786330
2004-10-06,781777
2004-10-13,795483
2004-10-20,784954
2004-10-27,791336
2004-11-03,790552
2004-11-10,800473
2004-11-17,794090
2004-11-24,809956
2004-12-01,807063
2004-12-08,808495
2004-12-15,807028
2004-12-22,811333
2004-12-29,810944
