DATE,NFCI,STLFSI4
1971-01-08,0.66000,.
1971-01-15,0.69000,.
1971-01-22,0.74000,.
1971-01-29,0.78000,.
1971-02-05,0.83000,.
1971-02-12,0.87000,.
1971-02-19,0.91000,.
1971-02-26,0.95000,.
1971-03-05,0.98000,.
1971-03-12,1.01000,.
1971-03-19,1.05000,.
1971-03-26,1.10000,.
1971-04-02,1.15000,.
1971-04-09,1.22000,.
1971-04-16,1.30000,.
1971-04-23,1.37000,.
1971-04-30,1.44000,.
1971-05-07,1.49000,.
1971-05-14,1.51000,.
1971-05-21,1.50000,.
1971-05-28,1.44000,.
1971-06-04,1.34000,.
1971-06-11,1.22000,.
1971-06-18,1.10000,.
1971-06-25,0.98000,.
1971-07-02,0.90000,.
1971-07-09,0.87000,.
1971-07-16,0.90000,.
1971-07-23,1.01000,.
1971-07-30,1.18000,.
1971-08-06,1.40000,.
1971-08-13,1.65000,.
1971-08-20,1.88000,.
1971-08-27,2.09000,.
1971-09-03,2.23000,.
1971-09-10,2.30000,.
1971-09-17,2.31000,.
1971-09-24,2.24000,.
1971-10-01,2.13000,.
1971-10-08,1.98000,.
1971-10-15,1.82000,.
1971-10-22,1.67000,.
1971-10-29,1.55000,.
1971-11-05,1.46000,.
1971-11-12,1.40000,.
1971-11-19,1.37000,.
1971-11-26,1.37000,.
1971-12-03,1.38000,.
1971-12-10,1.39000,.
1971-12-17,1.39000,.
1971-12-24,1.38000,.
1971-12-31,1.33000,.
1972-01-07,1.26000,.
1972-01-14,1.17000,.
1972-01-21,1.06000,.
1972-01-28,0.95000,.
1972-02-04,0.83000,.
1972-02-11,0.73000,.
1972-02-18,0.64000,.
1972-02-25,0.57000,.
1972-03-03,0.51000,.
1972-03-10,0.47000,.
1972-03-17,0.43000,.
1972-03-24,0.41000,.
1972-03-31,0.38000,.
1972-04-07,0.35000,.
1972-04-14,0.31000,.
1972-04-21,0.26000,.
1972-04-28,0.21000,.
1972-05-05,0.16000,.
1972-05-12,0.12000,.
1972-05-19,0.08000,.
1972-05-26,0.06000,.
1972-06-02,0.06000,.
1972-06-09,0.08000,.
1972-06-16,0.11000,.
1972-06-23,0.16000,.
1972-06-30,0.22000,.
1972-07-07,0.27000,.
1972-07-14,0.30000,.
1972-07-21,0.32000,.
1972-07-28,0.32000,.
1972-08-04,0.29000,.
1972-08-11,0.24000,.
1972-08-18,0.17000,.
1972-08-25,0.09000,.
1972-09-01,0.01000,.
1972-09-08,-0.06000,.
1972-09-15,-0.11000,.
1972-09-22,-0.16000,.
1972-09-29,-0.18000,.
1972-10-06,-0.19000,.
1972-10-13,-0.19000,.
1972-10-20,-0.19000,.
1972-10-27,-0.20000,.
1972-11-03,-0.21000,.
1972-11-10,-0.22000,.
1972-11-17,-0.24000,.
1972-11-24,-0.27000,.
1972-12-01,-0.30000,.
1972-12-08,-0.33000,.
1972-12-15,-0.34000,.
1972-12-22,-0.33000,.
1972-12-29,-0.31000,.
1973-01-05,-0.25000,.
1973-01-12,-0.16000,.
1973-01-19,-0.04000,.
1973-01-26,0.11000,.
1973-02-02,0.28000,.
1973-02-09,0.46000,.
1973-02-16,0.63000,.
1973-02-23,0.80000,.
1973-03-02,0.93000,.
1973-03-09,1.03000,.
1973-03-16,1.10000,.
1973-03-23,1.14000,.
1973-03-30,1.16000,.
1973-04-06,1.15000,.
1973-04-13,1.13000,.
1973-04-20,1.10000,.
1973-04-27,1.07000,.
1973-05-04,1.04000,.
1973-05-11,1.01000,.
1973-05-18,0.99000,.
1973-05-25,0.97000,.
1973-06-01,0.95000,.
1973-06-08,0.95000,.
1973-06-15,0.97000,.
1973-06-22,1.01000,.
1973-06-29,1.06000,.
1973-07-06,1.14000,.
1973-07-13,1.25000,.
1973-07-20,1.36000,.
1973-07-27,1.49000,.
1973-08-03,1.62000,.
1973-08-10,1.74000,.
1973-08-17,1.86000,.
1973-08-24,1.97000,.
1973-08-31,2.06000,.
1973-09-07,2.12000,.
1973-09-14,2.16000,.
1973-09-21,2.18000,.
1973-09-28,2.17000,.
1973-10-05,2.13000,.
1973-10-12,2.09000,.
1973-10-19,2.03000,.
1973-10-26,1.97000,.
1973-11-02,1.93000,.
1973-11-09,1.90000,.
1973-11-16,1.89000,.
1973-11-23,1.89000,.
1973-11-30,1.89000,.
1973-12-07,1.87000,.
1973-12-14,1.83000,.
1973-12-21,1.74000,.
1973-12-28,1.62000,.
1974-01-04,1.46000,.
1974-01-11,1.27000,.
1974-01-18,1.07000,.
1974-01-25,0.86000,.
1974-02-01,0.68000,.
1974-02-08,0.51000,.
1974-02-15,0.38000,.
1974-02-22,0.30000,.
1974-03-01,0.26000,.
1974-03-08,0.28000,.
1974-03-15,0.35000,.
1974-03-22,0.47000,.
1974-03-29,0.64000,.
1974-04-05,0.86000,.
1974-04-12,1.11000,.
1974-04-19,1.40000,.
1974-04-26,1.71000,.
1974-05-03,2.05000,.
1974-05-10,2.40000,.
1974-05-17,2.76000,.
1974-05-24,3.12000,.
1974-05-31,3.47000,.
1974-06-07,3.81000,.
1974-06-14,4.13000,.
1974-06-21,4.42000,.
1974-06-28,4.66000,.
1974-07-05,4.84000,.
1974-07-12,4.95000,.
1974-07-19,4.99000,.
1974-07-26,4.97000,.
1974-08-02,4.90000,.
1974-08-09,4.79000,.
1974-08-16,4.67000,.
1974-08-23,4.54000,.
1974-08-30,4.40000,.
1974-09-06,4.27000,.
1974-09-13,4.14000,.
1974-09-20,4.00000,.
1974-09-27,3.86000,.
1974-10-04,3.70000,.
1974-10-11,3.51000,.
1974-10-18,3.33000,.
1974-10-25,3.14000,.
1974-11-01,2.97000,.
1974-11-08,2.82000,.
1974-11-15,2.71000,.
1974-11-22,2.62000,.
1974-11-29,2.56000,.
1974-12-06,2.50000,.
1974-12-13,2.44000,.
1974-12-20,2.37000,.
1974-12-27,2.28000,.
1975-01-03,2.16000,.
1975-01-10,2.01000,.
1975-01-17,1.85000,.
1975-01-24,1.67000,.
1975-01-31,1.49000,.
1975-02-07,1.31000,.
1975-02-14,1.15000,.
1975-02-21,1.00000,.
1975-02-28,0.86000,.
1975-03-07,0.74000,.
1975-03-14,0.63000,.
1975-03-21,0.53000,.
1975-03-28,0.44000,.
1975-04-04,0.36000,.
1975-04-11,0.28000,.
1975-04-18,0.19000,.
1975-04-25,0.11000,.
1975-05-02,0.02000,.
1975-05-09,-0.06000,.
1975-05-16,-0.14000,.
1975-05-23,-0.21000,.
1975-05-30,-0.27000,.
1975-06-06,-0.32000,.
1975-06-13,-0.36000,.
