month;GPR;GPRT;GPRA;GPRH;GPRHT;GPRHA;SHARE_GPR;N10;SHARE_GPRH;N3H;GPRH_NOEW;GPR_NOEW;GPRH_AND;GPR_AND;GPRH_BASIC;GPR_BASIC;SHAREH_CAT_1;SHAREH_CAT_2;SHAREH_CAT_3;SHAREH_CAT_4;SHAREH_CAT_5;SHAREH_CAT_6;SHAREH_CAT_7;SHAREH_CAT_8;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;GPRHC_ARG;GPRHC_AUS;GPRHC_BEL;GPRHC_BRA;GPRHC_CAN;GPRHC_CHE;GPRHC_CHL;GPRHC_CHN;GPRHC_COL;GPRHC_DEU;GPRHC_DNK;GPRHC_EGY;GPRHC_ESP;GPRHC_FIN;GPRHC_FRA;GPRHC_GBR;GPRHC_HKG;GPRHC_HUN;GPRHC_IDN;GPRHC_IND;GPRHC_ISR;GPRHC_ITA;GPRHC_JPN;GPRHC_KOR;GPRHC_MEX;GPRHC_MYS;GPRHC_NLD;GPRHC_NOR;GPRHC_PER;GPRHC_PHL;GPRHC_POL;GPRHC_PRT;GPRHC_RUS;GPRHC_SAU;GPRHC_SWE;GPRHC_THA;GPRHC_TUN;GPRHC_TUR;GPRHC_TWN;GPRHC_UKR;GPRHC_USA;GPRHC_VEN;GPRHC_VNM;GPRHC_ZAF;var_name;var_label
01.01.1900;;;;87.93;64.72;110.45;;;3.17;7724;92.19;;116.95;;84.11;;0.52;0.01;0.70;0.00;0.00;1.32;0.95;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.08;0.09;0.01;0.09;0.04;0.01;0.23;0.03;0.53;0.01;0.05;0.56;0.03;0.67;1.54;0.00;0.03;0.00;0.27;0.00;0.05;0.09;0.01;0.06;0.00;0.25;0.01;0.01;0.88;0.05;0.25;0.26;0.00;0.01;0.08;0.00;0.04;0.00;0.00;2.72;0.05;0.01;1.15;month;Date (year/month)
01.02.1900;;;;86.57;71.94;96.25;;;3.12;7173;91.03;;131.07;;79.70;;0.47;0.13;0.77;0.00;0.01;1.13;0.84;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;0.15;0.15;0.03;0.10;0.08;0.01;0.10;0.00;0.64;0.03;0.20;0.39;0.00;0.96;1.88;0.00;0.04;0.00;0.39;0.01;0.20;0.04;0.00;0.10;0.00;0.31;0.01;0.01;0.47;0.01;0.14;0.33;0.00;0.00;0.08;0.00;0.13;0.00;0.00;2.73;0.03;0.00;1.14;GPR;Recent GPR (Index: 1985:2019=100)
01.03.1900;;;;72.14;57.48;84.50;;;2.60;7762;77.07;;112.94;;65.70;;0.45;0.08;0.57;0.00;0.04;1.26;0.46;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;0.13;0.10;0.01;0.18;0.03;0.00;0.14;0.01;0.46;0.00;0.09;0.39;0.00;0.54;1.35;0.00;0.04;0.00;0.28;0.04;0.18;0.10;0.06;0.05;0.00;0.21;0.03;0.01;0.35;0.01;0.05;0.39;0.00;0.01;0.12;0.00;0.18;0.00;0.00;2.15;0.03;0.00;0.86;GPRT;Recent GPR Threats (Index: 1985:2019=100)
01.04.1900;;;;54.42;37.33;65.86;;;1.96;7488;61.99;;99.78;;53.79;;0.39;0.00;0.32;0.00;0.00;0.64;0.73;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.08;0.03;0.00;0.08;0.01;0.00;0.11;0.05;0.21;0.04;0.01;0.29;0.03;0.39;1.12;0.00;0.00;0.00;0.12;0.00;0.09;0.15;0.03;0.05;0.00;0.04;0.01;0.03;0.33;0.00;0.08;0.27;0.00;0.00;0.04;0.00;0.07;0.00;0.00;1.78;0.00;0.00;0.64;GPRA;Recent GPR Acts (Index: 1985:2019=100)
01.05.1900;;;;64.41;48.20;74.37;;;2.32;7360;64.24;;105.35;;55.61;;0.52;0.04;0.35;0.00;0.00;0.69;0.88;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.12;0.03;0.05;0.26;0.01;0.03;0.11;0.05;0.41;0.03;0.04;0.26;0.00;0.49;1.11;0.00;0.03;0.00;0.22;0.00;0.12;0.07;0.00;0.07;0.00;0.19;0.03;0.00;0.49;0.00;0.08;0.18;0.00;0.00;0.16;0.00;0.08;0.00;0.00;1.97;0.01;0.00;0.79;GPRH;Historical GPR (Index: 1900:2019=100)
01.06.1900;;;;83.61;70.01;93.98;;;3.02;7294;77.47;;124.27;;76.15;;0.47;0.05;0.80;0.00;0.03;1.25;0.74;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.07;0.12;0.00;0.05;0.03;0.01;1.49;0.05;0.69;0.05;0.05;0.14;0.00;0.99;1.60;0.00;0.00;0.00;0.30;0.00;0.21;0.73;0.04;0.05;0.00;0.14;0.03;0.03;0.53;0.01;0.07;0.95;0.00;0.01;0.08;0.01;0.11;0.03;0.00;2.73;0.03;0.04;0.67;GPRHT;Historical GPR Threats (Index: 1900:2019=100)
01.07.1900;;;;108.57;87.06;125.71;;;3.92;7532;95.88;;134.73;;105.66;;0.76;0.08;0.81;0.00;0.04;1.41;1.31;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.07;0.09;0.04;0.08;0.07;0.05;2.80;0.05;1.10;0.04;0.05;0.48;0.01;1.21;1.82;0.01;0.04;0.01;0.62;0.01;0.28;1.04;0.07;0.12;0.00;0.09;0.01;0.00;0.62;0.01;0.04;1.04;0.00;0.01;0.25;0.00;0.15;0.04;0.00;3.54;0.03;0.03;0.29;GPRHA;Historical GPR Acts (Index: 1900:2019=100)
01.08.1900;;;;108.50;63.84;149.76;;;3.91;7409;95.91;;126.37;;115.74;;0.51;0.09;0.58;0.00;0.03;1.43;1.67;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.08;0.13;0.00;0.11;0.00;0.00;2.65;0.00;1.07;0.01;0.03;0.38;0.01;1.08;1.90;0.01;0.04;0.00;0.26;0.03;0.45;1.27;0.07;0.08;0.00;0.09;0.00;0.00;0.54;0.05;0.03;1.11;0.00;0.04;0.24;0.01;0.08;0.04;0.00;3.55;0.03;0.01;0.24;SHARE_GPR;Percent of Recent GPR Articles
01.09.1900;;;;62.81;54.70;67.58;;;2.27;7370;65.52;;108.19;;62.58;;0.43;0.05;0.56;0.00;0.00;0.71;0.68;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.03;0.04;0.05;0.04;0.03;0.07;0.91;0.05;0.72;0.00;0.01;0.46;0.01;0.54;0.77;0.00;0.03;0.00;0.12;0.03;0.24;0.30;0.01;0.12;0.00;0.03;0.01;0.03;0.41;0.01;0.09;0.79;0.00;0.00;0.14;0.00;0.04;0.01;0.00;2.01;0.01;0.00;0.18;N10;Number of articles (10 recent newspapers, 1985-)
01.10.1900;;;;43.37;31.72;51.43;;;1.56;7287;46.68;;88.74;;37.89;;0.25;0.04;0.32;0.00;0.00;0.43;0.58;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0.05;0.11;0.00;0.04;0.00;0.00;0.44;0.01;0.32;0.00;0.03;0.27;0.03;0.27;0.45;0.03;0.01;0.00;0.12;0.00;0.05;0.07;0.01;0.04;0.00;0.05;0.01;0.04;0.41;0.00;0.01;0.18;0.00;0.01;0.07;0.00;0.03;0.00;0.00;1.26;0.00;0.00;0.21;SHARE_GPRH;Percent of Historical GPR Articles
