yearmo;SENT;SENT_ORTH;pdnd;ripo;nipo;cefd;s;indpro;consdur;consnon;consserv;recess;employ;cpi
195801;;;;;;;;20.20969963;;;;1;52076;28.60000038
195802;;;;;;;;19.77860069;;;;1;51576;28.60000038
195803;;;;;;;;19.53610039;;;;1;51299;28.79999924
195804;;;;;;;;19.21269989;;;;1;51027;28.89999962
195805;;;;;;;;19.40130043;;;;0;50914;28.89999962
195806;;;;;;;;19.91329956;;;;0;50914;28.89999962
195807;;;;;;;;20.20969963;;;;0;51039;29
195808;;;;;;;;20.61389923;;;;0;51233;28.89999962
195809;;;;;;;;20.80260086;;;;0;51506;28.89999962
195810;;;;;;;;21.04509926;;;;0;51485;28.89999962
195811;;;;;;;;21.66489983;;;;0;51944;29
195812;;;;;;;0.159999996;21.69179916;;;;0;52085;28.89999962
195901;;;;;;;0.170000002;22.01510048;42.29999924;125.0999985;138.6999969;0;52478;29
195902;;;;;;;0.170000002;22.44630051;44.20000076;125.4000015;140;0;52688;28.89999962
195903;;;;;;;0.200000003;22.76959991;44.40000153;127.6999969;140.5;0;53014;28.89999962
195904;;;;;;;0.219999999;23.25469971;45.09999847;125.5999985;141.5;0;53321;29
195905;;;;;;;0.230000004;23.60499954;45.40000153;128;142.8000031;0;53550;29
195906;;;;;;;0.25;23.63190079;46;127.9000015;144.3000031;0;53681;29.10000038
195907;;;;;;;0.25;23.06599998;45.40000153;127.3000031;145.1000061;0;53804;29.20000076
195908;;;;;;;0.25;22.2845993;46.20000076;127.9000015;146.1000061;0;53336;29.20000076
195909;;;;;;;0.25999999;22.25769997;47.40000153;129.3999939;147.3999939;0;53428;29.29999924
195910;;;;;;;0.270000011;22.09600067;44.79999924;129.8000031;148.3000031;0;53358;29.39999962
195911;;;;;;;0.270000011;22.23069954;44.70000076;129;149.1999969;0;53634;29.39999962
195912;;;;;;;0.25999999;23.60499954;42.79999924;129.6999969;150.3999939;0;54174;29.39999962
196001;;;;13.80000019;16;;0.270000011;24.22470093;43.20000076;129.6000061;150.8000031;0;54274;29.29999924
196002;;;;8;16;;0.25999999;24.00919914;45.70000076;128.3999939;151.1999969;0;54513;29.39999962
196003;;;;19.39999962;21;;0.25;23.79360008;47.40000153;130.8000031;151.8999939;0;54454;29.39999962
196004;;;;15.89999962;16;;0.25;23.60499954;49.09999847;134.1000061;153.3000031;0;54813;29.5
196005;;;;25.29999924;19;;0.25;23.57799911;45.70000076;130.3000031;154;1;54475;29.5
196006;;;;30.60000038;40;;0.239999995;23.28160095;44.5;131.5;154.1000061;1;54348;29.60000038
196007;;;;10.39999962;17;;0.239999995;23.20079994;44.90000153;132.1999969;154.3000031;1;54306;29.60000038
196008;;;;27.5;23;;0.239999995;23.17379951;45.79999924;131.3999939;154.3999939;1;54272;29.60000038
196009;;;;18.10000038;20;;0.239999995;22.93129921;47.09999847;131.1000061;155.1000061;1;54227;29.60000038
196010;;;;12.60000038;27;;0.219999999;22.90439987;46.70000076;132.6000061;156.1000061;1;54142;29.79999924
196011;;;;7.400000095;38;;0.209999993;22.58099937;45.09999847;133.1000061;157.1999969;1;53961;29.79999924
196012;;;;25;16;;0.200000003;22.14990044;42.29999924;131.5;157.3999939;1;53742;29.79999924
196101;;;22.94000053;29.89999962;11;;0.209999993;22.17679977;41.59999847;132.3000031;158.3000031;1;53683;29.79999924
196102;;;19.95000076;74.90000153;27;;0.200000003;22.14990044;41.90000153;133.3000031;158.5;1;53557;29.79999924
196103;;;17.80999947;70.69999695;25;;0.200000003;22.2845993;43.20000076;134.6000061;159.8999939;0;53659;29.79999924
196104;;;16.60000038;71.09999847;27;;0.25999999;22.74270058;42.70000076;133.8999939;161;0;53627;29.79999924
196105;;;15.90999985;44.70000076;42;;0.25;23.09300041;43.5;134.3000031;162.1000061;0;53786;29.79999924
196106;;;17.20999908;22.79999924;29;;0.239999995;23.41640091;43.79999924;134.5;162.5;0;53977;29.79999924
196107;;;19.71999931;16.70000076;29;;0.25;23.68580055;44.09999847;133.8999939;162.5;0;54123;30
196108;;;20.25;23.79999924;50;;0.25;23.90139961;44.59999847;134.6000061;162.8999939;0;54298;29.89999962
196109;;;21.45999908;5.599999905;37;;0.25999999;23.87450027;45;135.3000031;164.1000061;0;54388;30
196110;;;21.46999931;14.5;53;;0.270000011;24.33250046;45.59999847;135.3000031;165.6000061;0;54522;30
196111;;;22.47999954;20.5;53;;0.270000011;24.70980072;46.70000076;136.3000031;166.8999939;0;54742;30
196112;;;22.85000038;13.89999962;52;;0.280000001;24.9253006;47.70000076;136.8999939;167.8000031;0;54872;30
196201;;;22.36000061;16.20000076;40;;0.280000001;24.70980072;47.5;137.1999969;168.5;0;54891;30
196202;;;22.79000092;4.099999905;31;;0.280000001;25.11400032;47.40000153;137.3999939;169.1999969;0;55188;30.10000038
196203;;;23.92000008;2.400000095;50;;0.280000001;25.24869919;48.20000076;138.8999939;170.1999969;0;55275;30.10000038
196204;;;28.37000084;-3.099999905;74;;0.239999995;25.30260086;48.40000153;139;171.6000061;0;55602;30.20000076
196205;;;30.42000008;-13.39999962;40;;0.230000004;25.27560043;49.59999847;139.5;173;0;55628;30.20000076
196206;;;28.82999992;1.200000048;5;;0.230000004;25.22179985;49.09999847;137.8000031;173.3999939;0;55644;30.20000076
196207;;;26.93000031;2.700000048;6;;0.219999999;25.46430016;49.20000076;138.1999969;174;0;55746;30.29999924
196208;;;23.07999992;3.599999905;7;;0.209999993;25.49119949;49;139.1999969;174.6999969;0;55838;30.29999924
196209;;;24.93000031;-0.400000006;17;;0.209999993;25.6529007;50.5;142.5;175.6999969;0;55978;30.39999962
196210;;;29.45000076;-13.39999962;7;;0.189999998;25.67989922;49;141;176.5;0;56041;30.39999962
196211;;;28.42000008;-7.800000191;11;;0.180000007;25.78759956;52.09999847;141.6999969;177.8999939;0;56056;30.39999962
196212;;;31.22999954;-11.39999962;10;;0.159999996;25.78759956;53.5;141.8000031;178.3000031;0;56028;30.39999962
196301;;;29.60000038;14.69999981;2;;0.159999996;25.9762001;53.09999847;142.8000031;178.6000061;0;56115;30.39999962
196302;;;29.57999992;-8.300000191;5;;0.159999996;26.27269936;52.40000153;141.8999939;179.1000061;0;56230;30.39999962
196303;;;29.51000023;6.300000191;7;;0.140000001;26.43440056;52.29999924;142.6999969;180;0;56320;30.5
196304;;;27.62000084;0.400000006;8;;0.129999995;26.67690086;53.20000076;142.1000061;181;0;56580;30.5
196305;;;26.39999962;9.199999809;8;;0.119999997;27.00020027;53.5;142.3999939;181.3999939;0;56616;30.5
196306;;;24.51000023;-0.899999976;10;;0.109999999;27.08110046;55;143.8999939;182.8000031;0;56659;30.60000038
196307;;;24.43000031;-1.299999952;6;;0.119999997;26.97330093;55.5;144.6999969;184.3000031;0;56794;30.70000076
196308;;;24.06999969;1.200000048;7;;0.119999997;27.0272007;54.09999847;146.5;185.6999969;0;56910;30.70000076
196309;;;23.70000076;3.5;8;;0.109999999;27.29660034;54.59999847;144.3000031;186.6000061;0;57078;30.70000076
196310;;;27.11000061;-1;8;;0.109999999;27.48530006;54.20000076;144;187.8999939;0;57283;30.79999924
196311;;;26.47999954;13.89999962;8;;0.119999997;27.62000084;55.59999847;145;188.8999939;0;57255;30.79999924
196312;;;29.23999977;20.39999962;6;;0.109999999;27.56609917;57.40000153;146.8999939;190.3000031;0;57361;30.89999962
196401;;;32.59000015;11.89999962;10;;0.109999999;27.80859947;57.90000153;147.1999969;191.6000061;0;57487;30.89999962
