Date;Value Returns;Momentum Returns;Value-Momentum Spread;Regime;;;;;;;;
31.06.1926;;;;;;;;;;;;
30.07.1926;1.6%;-1.6%;3.3%;0;;;;;;;;
31.08.1926;-0.1%;2.5%;-2.6%;1;;;;;;;;
30.09.1926;1.1%;1.2%;-0.1%;1;;;;;;;;
29.10.1926;1.3%;1.3%;0.0%;0;;;;;;;;
30.11.1926;1.6%;0.7%;0.8%;0;;;;;;;;
31.12.1926;-1.7%;2.5%;-4.2%;1;;;;;;;;
31.01.1927;1.3%;0.9%;0.4%;0;;;;;;;;
28.02.1927;1.6%;0.0%;1.6%;0;;;;;;;;
31.03.1927;-3.1%;3.6%;-6.7%;1;;;;;;;;
29.04.1927;-2.0%;2.0%;-4.0%;1;;;;;;;;
31.05.1927;-2.5%;-0.7%;-1.7%;1;;;;;;;;
30.06.1927;-2.0%;-0.8%;-1.2%;1;;;;;;;;
29.07.1927;-0.9%;1.3%;-2.2%;1;;;;;;;;
31.08.1927;-0.8%;-0.5%;-0.3%;1;;;;;;;;
30.09.1927;0.8%;-1.9%;2.8%;0;;;;;;;;
31.10.1927;0.5%;-2.1%;2.5%;0;;;;;;;;
30.11.1927;-2.2%;1.8%;-4.0%;1;;;;;;;;
30.12.1927;-1.1%;2.4%;-3.4%;1;;;;;;;;
31.01.1928;-0.9%;2.3%;-3.2%;1;;;;;;;;
29.02.1928;-0.6%;-1.1%;0.4%;0;;;;;;;;
30.03.1928;-2.7%;3.4%;-6.1%;1;;;;;;;;
30.04.1928;0.3%;0.7%;-0.5%;1;;;;;;;;
31.05.1928;-0.3%;0.3%;-0.5%;1;;;;;;;;
29.06.1928;0.2%;1.1%;-0.9%;1;;;;;;;;
31.07.1928;1.8%;-2.7%;4.5%;0;;;;;;;;
31.08.1928;-1.2%;1.8%;-3.0%;1;;;;;;;;
28.09.1928;0.2%;0.8%;-0.7%;1;;;;;;;;
31.10.1928;-1.2%;1.0%;-2.3%;1;;;;;;;;
30.11.1928;0.5%;2.8%;-2.2%;1;;;;;;;;
31.12.1928;-0.8%;1.2%;-2.0%;1;;;;;;;;
31.01.1929;-3.5%;3.2%;-6.7%;1;;;;;;;;
28.02.1929;0.7%;0.2%;0.4%;0;;;;;;;;
29.03.1929;-0.1%;-0.1%;-0.1%;1;;;;;;;;
30.04.1929;-0.2%;0.1%;-0.4%;1;;;;;;;;
31.05.1929;0.9%;0.6%;0.3%;0;;;;;;;;
28.06.1929;-3.1%;2.7%;-5.7%;1;;;;;;;;
31.07.1929;2.2%;-1.4%;3.6%;0;;;;;;;;
30.08.1929;-1.1%;2.7%;-3.8%;1;;;;;;;;
30.09.1929;0.5%;1.3%;-0.8%;1;;;;;;;;
31.10.1929;4.6%;-2.6%;7.2%;0;;;;;;;;
29.11.1929;2.6%;-2.0%;4.5%;0;;;;;;;;
31.12.1929;-2.6%;2.9%;-5.5%;1;;;;;;;;
31.01.1930;0.3%;-2.2%;2.5%;0;;;;;;;;
28.02.1930;0.8%;-1.2%;2.0%;0;;;;;;;;
31.03.1930;-0.4%;0.2%;-0.6%;1;;;;;;;;
30.04.1930;-0.7%;0.6%;-1.3%;1;;;;;;;;
30.05.1930;-0.3%;0.3%;-0.6%;1;;;;;;;;
30.06.1930;-0.7%;1.9%;-2.6%;1;;;;;;;;
31.07.1930;-0.7%;-1.1%;0.5%;0;;;;;;;;
29.08.1930;-2.1%;0.3%;-2.5%;1;;;;;;;;
30.09.1930;0.5%;4.7%;-4.1%;1;;;;;;;;
31.10.1930;1.7%;0.6%;1.1%;0;;;;;;;;
28.11.1930;-0.8%;-0.8%;0.0%;1;;;;;;;;
31.12.1930;-0.9%;2.1%;-3.0%;1;;;;;;;;
30.01.1931;1.4%;-2.3%;3.7%;0;;;;;;;;
27.02.1931;1.5%;-1.9%;3.4%;0;;;;;;;;
31.03.1931;0.8%;0.8%;0.0%;1;;;;;;;;
30.04.1931;0.0%;3.1%;-3.0%;1;;;;;;;;
29.05.1931;-1.2%;1.7%;-2.9%;1;;;;;;;;
30.06.1931;4.1%;-7.4%;11.5%;0;;;;;;;;
31.07.1931;1.2%;4.7%;-3.5%;1;;;;;;;;
31.08.1931;-3.1%;0.3%;-3.4%;1;;;;;;;;
30.09.1931;-0.5%;4.5%;-5.0%;1;;;;;;;;
30.10.1931;1.6%;-5.1%;6.7%;0;;;;;;;;
30.11.1931;-3.1%;2.0%;-5.1%;1;;;;;;;;
31.12.1931;-3.3%;1.5%;-4.9%;1;;;;;;;;
29.01.1932;6.2%;-3.8%;10.1%;0;;;;;;;;
29.02.1932;1.1%;0.8%;0.3%;0;;;;;;;;
31.03.1932;-1.9%;3.5%;-5.4%;1;;;;;;;;
29.04.1932;-3.3%;3.4%;-6.7%;1;;;;;;;;
31.05.1932;-0.5%;7.1%;-7.6%;1;;;;;;;;
30.06.1932;5.6%;-5.0%;10.6%;0;;;;;;;;
29.07.1932;13.3%;-13.8%;27.1%;0;;;;;;;;
31.08.1932;13.4%;-12.3%;25.7%;0;;;;;;;;
30.09.1932;-1.8%;3.9%;-5.7%;1;;;;;;;;
31.10.1932;-1.0%;2.5%;-3.4%;1;;;;;;;;
30.11.1932;-4.0%;-1.2%;-2.8%;1;;;;;;;;
30.12.1932;1.2%;3.3%;-2.1%;1;;;;;;;;
31.01.1933;-0.4%;-1.1%;0.7%;0;;;;;;;;
28.02.1933;-3.0%;2.4%;-5.4%;1;;;;;;;;
31.03.1933;4.0%;-4.0%;8.0%;0;;;;;;;;
28.04.1933;5.4%;-3.5%;8.9%;0;;;;;;;;
31.05.1933;5.3%;-1.3%;6.6%;0;;;;;;;;
30.06.1933;2.3%;-6.2%;8.4%;0;;;;;;;;
31.07.1933;-1.9%;0.5%;-2.4%;1;;;;;;;;
31.08.1933;-0.6%;2.3%;-2.9%;1;;;;;;;;
29.09.1933;-1.3%;1.9%;-3.2%;1;;;;;;;;
31.10.1933;0.7%;-0.5%;1.2%;0;;;;;;;;
30.11.1933;0.0%;2.0%;-2.0%;1;;;;;;;;
29.12.1933;-0.5%;1.4%;-1.8%;1;;;;;;;;
31.01.1934;2.7%;-0.1%;2.7%;0;;;;;;;;
28.02.1934;2.6%;-4.0%;6.6%;0;;;;;;;;
30.03.1934;-1.9%;0.3%;-2.2%;1;;;;;;;;
30.04.1934;0.5%;-3.4%;3.9%;0;;;;;;;;
31.05.1934;-5.8%;-1.0%;-4.8%;1;;;;;;;;
29.06.1934;1.0%;-0.5%;1.5%;0;;;;;;;;
31.07.1934;-1.9%;0.9%;-2.8%;1;;;;;;;;
31.08.1934;2.1%;-2.9%;5.0%;0;;;;;;;;
28.09.1934;-0.5%;0.1%;-0.6%;1;;;;;;;;
31.10.1934;-0.1%;2.9%;-3.0%;1;;;;;;;;
30.11.1934;-0.6%;0.7%;-1.3%;1;;;;;;;;
31.12.1934;-1.3%;2.1%;-3.4%;1;;;;;;;;
31.01.1935;1.4%;1.2%;0.2%;0;;;;;;;;
28.02.1935;-1.7%;2.4%;-4.1%;1;;;;;;;;
29.03.1935;-0.7%;0.0%;-0.8%;1;;;;;;;;
30.04.1935;4.2%;-3.1%;7.2%;0;;;;;;;;
31.05.1935;1.1%;0.9%;0.3%;0;;;;;;;;
28.06.1935;-0.9%;3.1%;-4.0%;1;;;;;;;;
31.07.1935;-0.6%;1.8%;-2.4%;1;;;;;;;;
30.08.1935;-0.6%;2.0%;-2.6%;1;;;;;;;;
30.09.1935;-0.5%;1.6%;-2.1%;1;;;;;;;;
31.10.1935;0.6%;-0.5%;1.1%;0;;;;;;;;
29.11.1935;0.0%;-0.2%;0.2%;0;;;;;;;;
31.12.1935;0.4%;0.5%;-0.1%;1;;;;;;;;
31.01.1936;1.4%;-1.9%;3.4%;0;;;;;;;;
28.02.1936;0.4%;-0.5%;0.9%;0;;;;;;;;
31.03.1936;-0.5%;1.7%;-2.2%;1;;;;;;;;
