Date;Value Returns;Momentum Returns;Value-Momentum Spread;Value 12M Returns;Momentum 12M Returns;Value-Momentum 12M Spread;Value 36M Returns;Momentum 36M Returns;Value-Momentum 36M Spread;Rolling Value Mean;Rolling Momentum Mean;Rolling Mean Difference;Value Volatility;Momentum Volatility;Volatility Difference;Value Skewness;Momentum Skewness;Skewness Difference;Value Excess Curtosis;Momentum Excess Kurtosis;Kurtosis Difference;Correlation;Value Drawdown;Momentum Drawdown;Drawdown Difference;Regime;;
30.07.1926;0.016263247;-0.016424512;0.032687759;;;;;;;;;;;;;;;;;;;;0;0;0;0;;
31.08.1926;-0.000913041;0.024592012;-0.025505053;;;;;;;;;;;;;;;;;;;;-0.000913041;0;-0.000913041;1;;
30.09.1926;0.010664972;0.011748498;-0.001083526;;;;;;;;;;;;;;;;;;;;0;0;0;1;;
29.10.1926;0.013171746;0.01316315;8.59644E-06;;;;;;;;;;;;;;;;;;;;0;0;0;0;;
30.11.1926;0.015525665;0.007462728;0.008062937;;;;;;;;;;;;;;;;;;;;0;0;0;0;;
31.12.1926;-0.017295993;0.024870659;-0.042166652;;;;;;;;;;;;;;;;;;;;-0.017295993;0;-0.017295993;1;;
31.01.1927;0.012638924;0.008537242;0.004101682;;;;;;;;;;;;;;;;;;;;-0.004875672;0;-0.004875672;0;;
28.02.1927;0.016199607;1.91147E-05;0.016180493;;;;;;;;;;;;;;;;;;;;0;0;0;0;;
31.03.1927;-0.031079315;0.035536248;-0.066615563;;;;;;;;;;;;;;;;;;;;-0.031079315;0;-0.031079315;1;;
29.04.1927;-0.019645652;0.020076863;-0.039722515;;;;;;;;;;;;;;;;;;;;-0.050114394;0;-0.050114394;1;;
31.05.1927;-0.024635697;-0.007463037;-0.017172659;;;;;;;;;;;;;;;;;;;;-0.073515487;-0.007463037;-0.06605245;1;;
30.06.1927;-0.019546681;-0.007674289;-0.011872391;-0.030133075;0.119200875;-0.149333949;;;;-0.002387685;0.009537056;-0.011924741;0.018555528;0.015438988;0.00311654;-0.343085912;-0.075911374;-0.267174538;-1.867464856;-0.67781187;-1.189652986;-0.345487214;-0.091625184;-0.015080053;-0.076545131;1;;
29.07.1927;-0.008780678;0.013369838;-0.022150517;-0.054033648;0.153103572;-0.207137221;;;;-0.004474679;0.012019919;-0.016494597;0.017653562;0.013103427;0.004550135;-0.104479146;0.035972402;-0.140451547;-1.800422378;-0.408639118;-1.39178326;-0.222765462;-0.099601332;-0.001911833;-0.097689499;1;;
31.08.1927;-0.007876795;-0.005178329;-0.002698466;-0.060627145;0.119599225;-0.18022637;;;;-0.005054991;0.009539057;-0.014594048;0.017640291;0.013323131;0.004317161;0.012080268;0.386705986;-0.374625718;-1.802700654;-0.276125724;-1.52657493;-0.220627218;-0.106693587;-0.007080262;-0.099613325;1;;
30.09.1927;0.008476054;-0.019062252;0.027538306;-0.062661657;0.0855041;-0.148165757;;;;-0.005237401;0.006971494;-0.012208896;0.01747349;0.015628088;0.001845401;0.02123616;0.167847871;-0.146611711;-1.762712079;-0.40388333;-1.358828749;-0.332152943;-0.099121873;-0.026007548;-0.073114325;0;;
31.10.1927;0.004791479;-0.020557775;0.025349254;-0.070414682;0.049375464;-0.119790146;;;;-0.005935757;0.004161417;-0.010097174;0.016826334;0.017350332;-0.000523999;0.053523634;0.270563543;-0.217039909;-1.603686586;-0.669012126;-0.93467446;-0.439488048;-0.094805335;-0.046030666;-0.048774669;0;;
30.11.1927;-0.021736579;0.018377893;-0.040114473;-0.104523554;0.060744725;-0.165268279;;;;-0.009040944;0.005071015;-0.014111958;0.015919535;0.017818926;-0.001899391;0.401161789;0.12053982;0.280621969;-1.314848508;-1.008193402;-0.306655106;-0.536139132;-0.11448117;-0.028498719;-0.085982451;1;;
30.12.1927;-0.010568829;0.023764786;-0.034333615;-0.098393512;0.059600144;-0.157993655;;;;-0.008480347;0.004978859;-0.013459205;0.015719603;0.017709742;-0.00199014;0.303919011;0.117372449;0.186546562;-1.261707246;-0.980214234;-0.281493012;-0.502055986;-0.123840067;-0.005411199;-0.118428868;1;;
31.01.1928;-0.009366378;0.023094212;-0.032460591;-0.117986007;0.074894143;-0.19288015;;;;-0.010314122;0.006191939;-0.016506061;0.014246447;0.01845838;-0.004211934;0.519044794;-0.030960521;0.550005315;-0.472716252;-1.333433221;0.860716969;-0.553803586;-0.132046513;0;-0.132046513;1;;
29.02.1928;-0.006360306;-0.010672102;0.004311796;-0.137566963;0.063402437;-0.2009694;;;;-0.012194115;0.005301005;-0.017495119;0.011688441;0.019032501;-0.00734406;0.255241294;0.068243857;0.186997436;-0.378168357;-1.553714206;1.175545849;-0.623220967;-0.137566963;-0.010672102;-0.126894861;0;;
30.03.1928;-0.02745348;0.034041181;-0.061494661;-0.134339618;0.061867139;-0.196206757;;;;-0.011891962;0.005176416;-0.017068378;0.011192197;0.018820295;-0.007628098;0.441125072;0.030574432;0.41055064;-0.49479099;-1.631971222;1.137180233;-0.600837445;-0.16124375;0;-0.16124375;1;;
